job_title,years_experience,education_level,skills,country,city,industry,company_size,employment_type,work_mode,certifications,annual_salary_usd
Mobile Developer,4,Bachelor's Degree,Java;TypeScript;React;JavaScript;Git,United States,Los Angeles,Aerospace & Defense,Large (1001–5000),Part-time,Hybrid,None,72400
Frontend Developer,8,Bootcamp Graduate,TypeScript;Kafka;React;GraphQL,Singapore,Singapore City,Telecommunications,Medium (201–1000),Full-time,On-site,CFA (Finance),98000
Machine Learning Engineer,17,Master's Degree,PyTorch;Python;TensorFlow;Kubernetes;Docker;AWS;Deep Learning,Singapore,Singapore City,Education & Research,Enterprise (5000+),Internship,On-site,PMP (Project Management),89300
DevOps Engineer,3,Master's Degree,Docker;AWS;Kubernetes;Python;CI/CD,Germany,Berlin,Automotive,Large (1001–5000),Full-time,Hybrid,None,135600
Software Engineer,4,Bachelor's Degree,C++;REST APIs;Java;SQL;Docker,UAE,Dubai,E-commerce & Retail,Small (51–200),Full-time,On-site,None,85200
Senior Software Engineer,7,Bachelor's Degree,C++;Go;Redis;Java;Kafka;Docker;TypeScript;Python;Kubernetes;CI/CD,China,Beijing,Manufacturing,Small (51–200),Full-time,Hybrid,PMP (Project Management),69300
Data Science Manager,3,Master's Degree,Machine Learning;Apache Spark;Docker;Python,UAE,Dubai,Education & Research,Small (51–200),Contract,Hybrid,AWS Certified Solutions Architect,153200
Senior Data Analyst,35,Master's Degree,SQL;Azure;Apache Spark;Scala;PostgreSQL;Machine Learning;Python,United Kingdom,Manchester,Manufacturing,Large (1001–5000),Part-time,Remote,AWS Certified Solutions Architect,131800
Senior Software Engineer,1,Associate's Degree,C++;Python;CI/CD;TypeScript;Java;Machine Learning;Git;Apache Spark;Docker;GraphQL,Netherlands,Rotterdam,Education & Research,Small (51–200),Full-time,On-site,Azure Solutions Architect,89600
Full Stack Developer,9,Bachelor's Degree,JavaScript;Node.js;React;SQL;Docker;MongoDB,United States,Atlanta,Energy & Utilities,Small (51–200),Full-time,Remote,PMP (Project Management),149000
AI/ML Researcher,2,Associate's Degree,Python;TensorFlow;PyTorch;Deep Learning;Machine Learning,Poland,Warsaw,Education & Research,Large (1001–5000),Contract,Remote,PMP (Project Management),78300
Cloud Architect,4,Master's Degree,REST APIs;C++;Azure;GCP;AWS;Kubernetes,India,Bengaluru,Education & Research,Enterprise (5000+),Full-time,Hybrid,None,33100
Senior Software Engineer,25,Associate's Degree,C++;Java;Python;Git;Kubernetes,UAE,Abu Dhabi,Media & Entertainment,Enterprise (5000+),Contract,Remote,None,296800
Backend Developer,20,Bachelor's Degree,GCP;Node.js;SQL;PostgreSQL;Java;Docker;Go;Python;Redis,United States,Chicago,Insurance,Large (1001–5000),Full-time,Hybrid,Google Cloud Professional,315100
Solutions Architect,2,Associate's Degree,REST APIs;AWS;Azure;Kubernetes,United States,Miami,Consulting,Enterprise (5000+),Full-time,Remote,None,203500
Systems Architect,3,Master's Degree,Kubernetes;AWS;Azure;Linux,United Kingdom,Manchester,Media & Entertainment,Enterprise (5000+),Freelance,Hybrid,None,158300
Senior Data Analyst,4,Bootcamp Graduate,Python;Apache Spark;Machine Learning;PostgreSQL;PyTorch;SQL,United Kingdom,Edinburgh,Manufacturing,Large (1001–5000),Full-time,On-site,CISSP (Security),101700
Product Manager,4,Bachelor's Degree,REST APIs;Git;Node.js;SQL;Linux,Japan,Tokyo,Consulting,Medium (201–1000),Full-time,Hybrid,CKA (Kubernetes),103800
Engineering Manager,15,PhD / Doctorate,Python;AWS;Docker;CI/CD;Kubernetes,United States,New York,Consulting,Small (51–200),Full-time,On-site,Azure Solutions Architect,398400
Full Stack Developer,3,Bachelor's Degree,SQL;Docker;MongoDB;Node.js;PyTorch;TypeScript,France,Marseille,Telecommunications,Startup (1–50),Freelance,On-site,None,82100
Cybersecurity Analyst,7,Bachelor's Degree,Python;Linux;AWS,Japan,Yokohama,Consulting,Medium (201–1000),Freelance,Hybrid,None,82100
Senior Software Engineer,8,Bachelor's Degree,CI/CD;Java;C++;Git;Docker;JavaScript,United States,Atlanta,Technology,Startup (1–50),Full-time,Remote,None,207000
Product Manager,6,Bachelor's Degree,SQL;REST APIs,Sweden,Stockholm,Startups,Startup (1–50),Full-time,Remote,Azure Solutions Architect;CompTIA Security+,115500
Machine Learning Engineer,3,Bootcamp Graduate,GraphQL;Machine Learning;PyTorch;TensorFlow;PostgreSQL,Netherlands,Rotterdam,Healthcare & Pharma,Large (1001–5000),Part-time,Hybrid,Google Cloud Professional;CompTIA Security+,79100
Mobile Developer,1,Master's Degree,React;Java;JavaScript,United States,San Francisco,Healthcare & Pharma,Small (51–200),Full-time,Remote,None,115800
Network Engineer,28,PhD / Doctorate,AWS;Python,Brazil,São Paulo,Education & Research,Small (51–200),Full-time,Remote,None,45800
Blockchain Developer,3,Bootcamp Graduate,JavaScript;Python;Go;GCP;SQL;MongoDB,United States,Austin,E-commerce & Retail,Small (51–200),Contract,On-site,None,144400
Machine Learning Engineer,6,PhD / Doctorate,TensorFlow;AWS;PyTorch;Python;Go;Kubernetes,Netherlands,Amsterdam,Startups,Enterprise (5000+),Full-time,Hybrid,Google Cloud Professional,219100
Project Manager,8,Bachelor's Degree,SQL,Canada,Montreal,Manufacturing,Startup (1–50),Full-time,On-site,CompTIA Security+,74400
Systems Architect,9,Bachelor's Degree,Machine Learning;Docker;Linux;React;Git;AWS;Kubernetes;Azure;GCP,Canada,Toronto,Education & Research,Small (51–200),Full-time,On-site,None,107400
Technical Lead,13,Bachelor's Degree,Python;Kubernetes;Git;CI/CD;Java,United States,Miami,E-commerce & Retail,Small (51–200),Part-time,On-site,Azure Solutions Architect,140800
Data Science Manager,11,PhD / Doctorate,SQL;Apache Spark;Machine Learning,Australia,Adelaide,Telecommunications,Startup (1–50),Freelance,Remote,AWS Certified Solutions Architect;Salesforce Certified,298700
Cybersecurity Analyst,7,Bachelor's Degree,Kafka;Python;CI/CD;Linux;REST APIs,Australia,Adelaide,Healthcare & Pharma,Large (1001–5000),Full-time,Hybrid,None,145400
Network Engineer,28,Bachelor's Degree,AWS;GraphQL;Apache Spark,United Kingdom,Birmingham,Telecommunications,Enterprise (5000+),Full-time,Hybrid,CFA (Finance),185700
Cybersecurity Analyst,14,Bachelor's Degree,Linux;PostgreSQL,Japan,Tokyo,Consulting,Startup (1–50),Contract,On-site,None,114900
UX/UI Designer,5,Bootcamp Graduate,React;Docker;Scala;JavaScript,Canada,Toronto,Finance & Banking,Small (51–200),Full-time,Remote,Salesforce Certified,79000
Product Manager,4,Bachelor's Degree,REST APIs;Kafka;Node.js;Kubernetes;MongoDB,United States,New York,Media & Entertainment,Small (51–200),Full-time,Remote,None,120300
Machine Learning Engineer,4,Bootcamp Graduate,PyTorch;TensorFlow;Kubernetes;Python;Docker;AWS,Australia,Brisbane,Telecommunications,Medium (201–1000),Full-time,On-site,CompTIA Security+,114400
Network Engineer,4,Bachelor's Degree,PyTorch;Linux;AWS,UAE,Dubai,Aerospace & Defense,Enterprise (5000+),Full-time,On-site,None,97800
Solutions Architect,6,High School / GED,C++;REST APIs;GCP;Azure,United States,Chicago,Finance & Banking,Medium (201–1000),Full-time,Remote,None,148400
Network Engineer,1,High School / GED,Azure;PyTorch;AWS;Python;GCP;Linux,South Africa,Cape Town,Automotive,Small (51–200),Part-time,On-site,None,11300
Technical Lead,3,Bootcamp Graduate,CI/CD;Python;Kubernetes;GraphQL;REST APIs;Docker,United Kingdom,Leeds,Energy & Utilities,Medium (201–1000),Contract,Hybrid,None,169900
DevOps Engineer,7,Bachelor's Degree,AWS;Java;Go;Docker;CI/CD;Kubernetes;JavaScript;Linux;Python,India,Pune,Consulting,Small (51–200),Full-time,Remote,PMP (Project Management),37200
Data Engineer,18,Associate's Degree,PostgreSQL;SQL;Apache Spark;Rust;MongoDB;Python;AWS;Kafka,United States,New York,Aerospace & Defense,Large (1001–5000),Contract,Hybrid,PMP (Project Management),316300
Full Stack Developer,3,Bachelor's Degree,Docker;Scala;JavaScript;Git;SQL;TensorFlow;Kafka,India,Pune,Media & Entertainment,Small (51–200),Full-time,Remote,None,22900
Mobile Developer,9,Bachelor's Degree,TypeScript;JavaScript;React;Java,Sweden,Stockholm,Government & Public Sector,Startup (1–50),Full-time,Remote,AWS Certified Solutions Architect,90000
Solutions Architect,18,Bachelor's Degree,Kubernetes;AWS;GCP;CI/CD;Docker;REST APIs;Azure,India,Pune,Government & Public Sector,Small (51–200),Freelance,Hybrid,CISSP (Security),53900
Frontend Developer,6,Master's Degree,C++;JavaScript;React;Git;GraphQL;TypeScript,United States,Miami,Healthcare & Pharma,Large (1001–5000),Full-time,Hybrid,CKA (Kubernetes),174000
DevOps Engineer,2,Bachelor's Degree,CI/CD;Docker;Python;Linux;MongoDB;GCP;Kubernetes;AWS;Apache Spark,Japan,Tokyo,Aerospace & Defense,Large (1001–5000),Contract,Hybrid,CFA (Finance),139700
Cloud Architect,18,Bootcamp Graduate,AWS;Git;Node.js;Docker;Terraform;Kubernetes;Azure,Canada,Vancouver,Technology,Enterprise (5000+),Full-time,Hybrid,CompTIA Security+,326000
Mobile Developer,6,Master's Degree,TypeScript;Java;Deep Learning;MongoDB;Git;JavaScript,South Korea,Busan,Media & Entertainment,Enterprise (5000+),Contract,Remote,None,139400
Project Manager,7,Bachelor's Degree,SQL;Git,United States,Austin,Insurance,Small (51–200),Full-time,Remote,None,113700
Business Analyst,9,PhD / Doctorate,PyTorch,United States,Austin,Insurance,Large (1001–5000),Contract,Hybrid,None,173200
Technical Lead,7,Associate's Degree,JavaScript;Git;Java;Python,United States,San Francisco,Healthcare & Pharma,Startup (1–50),Full-time,On-site,None,138300
Software Engineer,2,Master's Degree,REST APIs;AWS;Git;Java;Node.js;C++,United States,Seattle,Startups,Small (51–200),Full-time,On-site,CFA (Finance),137800
Cybersecurity Analyst,1,Bachelor's Degree,CI/CD;AWS;TypeScript;Python,United States,Los Angeles,Manufacturing,Enterprise (5000+),Full-time,Remote,None,197200
Business Analyst,10,Associate's Degree,REST APIs;Python;SQL,Brazil,Rio de Janeiro,Energy & Utilities,Large (1001–5000),Contract,On-site,None,39700
Project Manager,4,Master's Degree,Git,United States,New York,Government & Public Sector,Enterprise (5000+),Full-time,Remote,None,115100
Blockchain Developer,18,Bachelor's Degree,SQL;Rust;Go,Germany,Hamburg,Aerospace & Defense,Enterprise (5000+),Freelance,Remote,AWS Certified Solutions Architect,300000
AI/ML Researcher,5,Bootcamp Graduate,Docker;Machine Learning;TensorFlow;PostgreSQL;Python;PyTorch,Brazil,São Paulo,Healthcare & Pharma,Enterprise (5000+),Full-time,Hybrid,Salesforce Certified,72300
Senior Data Analyst,14,Bachelor's Degree,Machine Learning;Scala;Git;Apache Spark;TensorFlow;SQL;Python,United States,Los Angeles,Media & Entertainment,Small (51–200),Full-time,Remote,None,142700
Project Manager,4,Associate's Degree,C++;PyTorch;Java;PostgreSQL,Germany,Hamburg,Telecommunications,Startup (1–50),Full-time,On-site,Azure Solutions Architect,71300
Senior Software Engineer,13,Master's Degree,CI/CD;Redis;Docker;Java;C++;Kafka;Python;Kubernetes;Git,Singapore,Singapore City,Aerospace & Defense,Startup (1–50),Part-time,On-site,CKA (Kubernetes),146900
Solutions Architect,1,Bachelor's Degree,TypeScript;Azure;GCP;Kubernetes;Docker;REST APIs;AWS,Argentina,Buenos Aires,Insurance,Startup (1–50),Full-time,Hybrid,None,56000
Data Science Manager,3,Bachelor's Degree,SQL;Apache Spark;Machine Learning;Rust;Python;REST APIs,United States,Atlanta,Aerospace & Defense,Startup (1–50),Full-time,On-site,Salesforce Certified,192700
Security Engineer,3,Master's Degree,Python;AWS;CI/CD,Japan,Yokohama,Consulting,Startup (1–50),Freelance,Remote,PMP (Project Management);Data Science Professional (IBM),106300
Cybersecurity Analyst,1,Bootcamp Graduate,CI/CD;AWS,United States,Atlanta,E-commerce & Retail,Medium (201–1000),Full-time,Remote,AWS Certified Solutions Architect,109700
Product Manager,4,Bachelor's Degree,REST APIs,Argentina,Córdoba,Education & Research,Enterprise (5000+),Internship,Hybrid,Data Science Professional (IBM),11800
Database Administrator,6,Master's Degree,CI/CD;SQL;Linux;Python;PostgreSQL;Redis;MongoDB;Go,Australia,Perth,Startups,Medium (201–1000),Full-time,Hybrid,CFA (Finance),124200
Frontend Developer,2,Bachelor's Degree,Git;Kubernetes;GraphQL,United States,Miami,Media & Entertainment,Small (51–200),Full-time,Remote,CISSP (Security),79200
Backend Developer,3,Master's Degree,Python;SQL;Docker;Node.js;Java;PostgreSQL;Redis,United States,San Francisco,Education & Research,Large (1001–5000),Full-time,Hybrid,None,129800
Network Engineer,3,PhD / Doctorate,React;Python;TensorFlow;Linux;MongoDB;AWS;Azure,France,Paris,Automotive,Startup (1–50),Contract,Hybrid,None,113400
Technical Lead,13,Master's Degree,Docker;Kubernetes;CI/CD;Python;Java,United States,Boston,Energy & Utilities,Small (51–200),Full-time,On-site,None,278300
Backend Developer,5,Bachelor's Degree,Python;SQL;Node.js;Redis;Scala;React,United States,Atlanta,Media & Entertainment,Small (51–200),Full-time,Remote,AWS Certified Solutions Architect,145800
Cloud Architect,5,Master's Degree,Azure;React;Python;GCP;AWS;Docker;Terraform;C++;TypeScript,United Kingdom,Bristol,Energy & Utilities,Startup (1–50),Full-time,On-site,CFA (Finance),185100
Cybersecurity Analyst,6,Associate's Degree,Linux;CI/CD,India,Chennai,Consulting,Startup (1–50),Full-time,On-site,None,32100
Mobile Developer,10,Bachelor's Degree,JavaScript;Linux;Go;TypeScript;Java;Git;React,United States,Boston,Technology,Small (51–200),Part-time,On-site,AWS Certified Solutions Architect,94400
Database Administrator,3,Bootcamp Graduate,Linux;MongoDB;Rust;SQL;PostgreSQL;Redis,Canada,Ottawa,Manufacturing,Startup (1–50),Full-time,On-site,AWS Certified Solutions Architect,63200
Mobile Developer,10,High School / GED,C++;JavaScript;SQL;Git,Canada,Montreal,Technology,Startup (1–50),Full-time,Remote,PMP (Project Management),92400
Full Stack Developer,1,Master's Degree,TypeScript;React;SQL;AWS;Docker;MongoDB,South Korea,Busan,Education & Research,Enterprise (5000+),Full-time,Remote,CKA (Kubernetes),80900
Project Manager,9,Bachelor's Degree,MongoDB;SQL;Git,Germany,Frankfurt,Media & Entertainment,Large (1001–5000),Full-time,On-site,Google Cloud Professional,108500
UX/UI Designer,2,Bachelor's Degree,React;C++,United Kingdom,Manchester,E-commerce & Retail,Small (51–200),Full-time,Remote,None,69300
Engineering Manager,4,High School / GED,AWS;Docker;Kafka;Python,Australia,Brisbane,Startups,Enterprise (5000+),Contract,Remote,None,205400
Engineering Manager,5,Bachelor's Degree,Docker;Java;REST APIs;AWS,India,Bengaluru,Healthcare & Pharma,Small (51–200),Full-time,Remote,None,32400
Full Stack Developer,9,Master's Degree,Node.js;Java;SQL;React;TensorFlow;GCP;TypeScript;MongoDB;JavaScript;Docker,Australia,Perth,Manufacturing,Startup (1–50),Contract,Hybrid,CFA (Finance),153200
Data Analyst,2,Master's Degree,PostgreSQL;MongoDB;React;Git;SQL,France,Paris,E-commerce & Retail,Small (51–200),Full-time,Hybrid,None,55200
Cloud Architect,24,Master's Degree,Linux;GCP;Kubernetes;Terraform;Python;Azure;AWS,Mexico,Mexico City,E-commerce & Retail,Small (51–200),Full-time,On-site,AWS Certified Solutions Architect,113100
Cloud Architect,6,Master's Degree,AWS;Azure;Docker;Apache Spark,Singapore,Singapore City,Education & Research,Small (51–200),Full-time,On-site,None,143500
Blockchain Developer,7,Master's Degree,Go;MongoDB,United States,Chicago,Manufacturing,Startup (1–50),Full-time,Hybrid,CompTIA Security+,147100
Data Engineer,7,Associate's Degree,Kafka;PostgreSQL;AWS;MongoDB;SQL,Canada,Ottawa,Finance & Banking,Small (51–200),Full-time,On-site,CKA (Kubernetes),124700
Solutions Architect,12,PhD / Doctorate,Kubernetes;Azure;Docker;Scala;GCP;JavaScript;AWS,Canada,Toronto,E-commerce & Retail,Startup (1–50),Full-time,On-site,Google Cloud Professional,254100
Solutions Architect,2,PhD / Doctorate,AWS;PostgreSQL;SQL;REST APIs;Rust;React;GCP;Docker;Azure,Singapore,Singapore City,Energy & Utilities,Small (51–200),Full-time,On-site,CISSP (Security),186700
Business Analyst,1,Bachelor's Degree,Linux;CI/CD;REST APIs;Python;PostgreSQL,India,Mumbai,Energy & Utilities,Large (1001–5000),Freelance,On-site,None,21600
Systems Architect,12,Associate's Degree,Kubernetes;React;Rust;Azure;Git,United States,San Francisco,E-commerce & Retail,Startup (1–50),Full-time,On-site,CKA (Kubernetes),192100
Senior Data Analyst,4,High School / GED,Apache Spark;PostgreSQL;Machine Learning;GraphQL;SQL,South Korea,Busan,Media & Entertainment,Small (51–200),Full-time,Remote,AWS Certified Solutions Architect,52700
Site Reliability Engineer,20,Master's Degree,AWS;CI/CD;Linux;Kubernetes;Python,UAE,Abu Dhabi,Startups,Enterprise (5000+),Full-time,Remote,None,295800
Solutions Architect,6,PhD / Doctorate,PostgreSQL;GCP;REST APIs;Azure;Redis;Docker;Kubernetes;AWS,United States,Seattle,Government & Public Sector,Large (1001–5000),Full-time,Remote,PMP (Project Management),270200
Solutions Architect,11,Master's Degree,Kubernetes;Docker;REST APIs;PyTorch,United States,New York,Startups,Medium (201–1000),Freelance,Hybrid,Azure Solutions Architect,435300
UX/UI Designer,1,Bachelor's Degree,JavaScript,Japan,Osaka,E-commerce & Retail,Medium (201–1000),Contract,Remote,None,64500
Project Manager,2,Master's Degree,Java;Scala,United States,Chicago,Startups,Large (1001–5000),Full-time,Remote,None,129400
Solutions Architect,19,Bachelor's Degree,GCP;REST APIs;Azure;Apache Spark;PyTorch;JavaScript;Docker,Poland,Warsaw,Government & Public Sector,Startup (1–50),Full-time,Remote,Data Science Professional (IBM),88400
Security Engineer,3,Bachelor's Degree,AWS;CI/CD;Python;Machine Learning,United Kingdom,Manchester,Consulting,Enterprise (5000+),Full-time,Hybrid,CKA (Kubernetes);AWS Certified Solutions Architect,157200
Software Engineer,4,High School / GED,C++;Java;Git;Python;REST APIs;Docker,United Kingdom,Edinburgh,Government & Public Sector,Large (1001–5000),Full-time,Hybrid,None,81700
Business Analyst,5,Bachelor's Degree,Python,United States,Seattle,Government & Public Sector,Small (51–200),Part-time,Hybrid,None,38300
UX/UI Designer,3,Bachelor's Degree,Git;Docker,United States,Denver,Media & Entertainment,Large (1001–5000),Full-time,Hybrid,Data Science Professional (IBM),91600
Mobile Developer,11,Bachelor's Degree,Java;JavaScript;TypeScript;Git,Netherlands,Amsterdam,Technology,Large (1001–5000),Freelance,Hybrid,CISSP (Security),155100
Systems Architect,11,High School / GED,Docker;Apache Spark;AWS;GraphQL;Azure;GCP;Rust;Kubernetes;Linux,United States,Denver,Insurance,Large (1001–5000),Full-time,Hybrid,CompTIA Security+,221700
Database Administrator,13,Bachelor's Degree,Linux;MongoDB;SQL,India,Pune,Education & Research,Enterprise (5000+),Full-time,On-site,PMP (Project Management),24200
DevOps Engineer,8,Bootcamp Graduate,Python;Java;Docker;PyTorch;Kubernetes;CI/CD;Linux;React;Node.js,Sweden,Gothenburg,Government & Public Sector,Enterprise (5000+),Full-time,Remote,Azure Solutions Architect,134200
Engineering Manager,5,Bachelor's Degree,Azure;Kubernetes;Docker,Netherlands,Rotterdam,Consulting,Large (1001–5000),Part-time,Hybrid,Azure Solutions Architect,100600
Technical Lead,9,Bachelor's Degree,CI/CD;Scala;Kubernetes;REST APIs;Linux;Git;Python;Docker;Java,Australia,Melbourne,Finance & Banking,Enterprise (5000+),Contract,Remote,None,281100
Senior Software Engineer,19,Associate's Degree,Kubernetes;CI/CD;Python;Java;C++;Docker;Git,United States,Seattle,Startups,Large (1001–5000),Internship,Remote,None,102700
Software Engineer,3,Master's Degree,Python;C++;SQL;Git;REST APIs;PyTorch;Redis;CI/CD;Docker;Java,United States,San Francisco,Consulting,Medium (201–1000),Full-time,Remote,Google Cloud Professional,175500
Cloud Architect,8,Bachelor's Degree,GCP;Docker;Scala;AWS,United States,Denver,Media & Entertainment,Medium (201–1000),Full-time,On-site,CFA (Finance),233800
Site Reliability Engineer,1,Bachelor's Degree,GraphQL;Python;AWS;Rust;CI/CD;MongoDB;Docker;Kubernetes;Linux,India,Delhi,Insurance,Medium (201–1000),Full-time,Hybrid,CISSP (Security),27600
AI/ML Researcher,1,Bachelor's Degree,Kafka;GCP;PyTorch;Deep Learning;Machine Learning;PostgreSQL,Switzerland,Zurich,Consulting,Large (1001–5000),Freelance,On-site,Salesforce Certified,238800
Machine Learning Engineer,7,Bachelor's Degree,PostgreSQL;Python;Kubernetes;Scala;Java;TensorFlow;Docker;PyTorch;JavaScript,India,Pune,Consulting,Large (1001–5000),Full-time,Remote,Data Science Professional (IBM);CKA (Kubernetes),58100
Systems Architect,6,Bachelor's Degree,Machine Learning;Docker;Java;React;GCP,Japan,Tokyo,Finance & Banking,Small (51–200),Full-time,Remote,PMP (Project Management),175700
Machine Learning Engineer,9,Master's Degree,AWS;Deep Learning;TensorFlow;Kubernetes;Linux;Python;REST APIs,United States,New York,Insurance,Medium (201–1000),Part-time,Remote,Azure Solutions Architect;CompTIA Security+,146500
Network Engineer,1,Bachelor's Degree,Python;MongoDB;AWS;Redis;Linux;Azure,South Africa,Cape Town,Aerospace & Defense,Startup (1–50),Contract,Remote,PMP (Project Management),36800
Blockchain Developer,1,Bachelor's Degree,Kafka;Python;PostgreSQL,Japan,Tokyo,Education & Research,Large (1001–5000),Full-time,On-site,Data Science Professional (IBM),81200
Mobile Developer,5,Master's Degree,TypeScript;Java;React;Go;JavaScript;Git,Switzerland,Zurich,Automotive,Large (1001–5000),Full-time,Remote,PMP (Project Management),326100
Data Science Manager,4,Bachelor's Degree,Machine Learning;SQL;Python;Docker;PyTorch;Linux;Apache Spark,Australia,Perth,E-commerce & Retail,Small (51–200),Contract,Remote,AWS Certified Solutions Architect,228900
Product Manager,7,High School / GED,TensorFlow;JavaScript,Netherlands,Rotterdam,Manufacturing,Small (51–200),Contract,On-site,None,82300
Solutions Architect,4,PhD / Doctorate,Docker;REST APIs;Kubernetes;React;TypeScript;AWS,Germany,Cologne,E-commerce & Retail,Enterprise (5000+),Full-time,Remote,None,241400
Senior Data Analyst,2,PhD / Doctorate,PostgreSQL;Apache Spark;SQL;Python,Singapore,Singapore City,Automotive,Enterprise (5000+),Contract,On-site,None,133500
Frontend Developer,16,Bachelor's Degree,JavaScript;TypeScript;MongoDB;PostgreSQL;Go,India,Hyderabad,E-commerce & Retail,Startup (1–50),Full-time,Remote,None,33500
Senior Data Analyst,6,Master's Degree,SQL;Apache Spark;Machine Learning;Go,United States,Atlanta,Healthcare & Pharma,Small (51–200),Full-time,Hybrid,CKA (Kubernetes),182300
QA Engineer,4,Bachelor's Degree,Python;Redis;Linux;CI/CD;SQL,Canada,Calgary,Consulting,Small (51–200),Full-time,On-site,CKA (Kubernetes),80400
Business Analyst,6,Master's Degree,PyTorch,India,Pune,Education & Research,Startup (1–50),Full-time,Remote,None,13100
Engineering Manager,26,Bachelor's Degree,Kubernetes;PostgreSQL;AWS;Docker;CI/CD;Machine Learning;Python,India,Delhi,Telecommunications,Small (51–200),Full-time,Hybrid,PMP (Project Management),75900
DevOps Engineer,5,Bachelor's Degree,Docker;AWS;Deep Learning;JavaScript,Japan,Yokohama,Telecommunications,Enterprise (5000+),Full-time,Remote,AWS Certified Solutions Architect,137500
Backend Developer,4,Master's Degree,Node.js;PostgreSQL;Redis;Python;SQL;Java,Netherlands,The Hague,Media & Entertainment,Large (1001–5000),Full-time,On-site,CISSP (Security),123800
Database Administrator,0,Bachelor's Degree,Linux;MongoDB;Redis;PostgreSQL;SQL,Argentina,Córdoba,Government & Public Sector,Medium (201–1000),Freelance,On-site,None,17000
UX/UI Designer,13,Master's Degree,Deep Learning;JavaScript;React;GCP;TypeScript,Germany,Hamburg,Insurance,Large (1001–5000),Full-time,Hybrid,CompTIA Security+,240000
Project Manager,7,High School / GED,Git;JavaScript,United States,New York,Technology,Large (1001–5000),Full-time,Remote,None,95500
Database Administrator,26,Master's Degree,Rust;MongoDB;SQL;PyTorch;Redis,United States,Atlanta,Aerospace & Defense,Small (51–200),Full-time,Remote,None,270500
Data Analyst,5,Bachelor's Degree,PostgreSQL;MongoDB;Python;GraphQL;Git;REST APIs,United States,Atlanta,Media & Entertainment,Small (51–200),Full-time,Hybrid,None,73600
Cybersecurity Analyst,13,Bachelor's Degree,CI/CD;Linux,Germany,Cologne,Telecommunications,Large (1001–5000),Full-time,On-site,CISSP (Security),145800
Data Analyst,12,Master's Degree,Python;SQL;Git;MongoDB,Japan,Tokyo,Telecommunications,Medium (201–1000),Full-time,Hybrid,AWS Certified Solutions Architect,107700
DevOps Engineer,2,High School / GED,Linux;Python;CI/CD;TensorFlow;Java,United States,Atlanta,Startups,Startup (1–50),Full-time,Remote,PMP (Project Management),86800
Database Administrator,2,PhD / Doctorate,Linux;React;REST APIs;PostgreSQL;SQL;CI/CD,Canada,Ottawa,Startups,Large (1001–5000),Full-time,Hybrid,None,116000
Data Analyst,6,Bachelor's Degree,PostgreSQL;SQL;MongoDB;Python,Netherlands,Amsterdam,Telecommunications,Small (51–200),Full-time,Remote,CompTIA Security+,64500
Data Engineer,11,Master's Degree,Linux;Python;Kafka;PostgreSQL;AWS,Switzerland,Zurich,Telecommunications,Large (1001–5000),Freelance,On-site,None,293000
Solutions Architect,1,Master's Degree,AWS;Linux;Kafka;Kubernetes;Docker;GCP;REST APIs,United States,Atlanta,Technology,Small (51–200),Full-time,Remote,None,188400
Backend Developer,11,Bachelor's Degree,Java;Python;Docker;PostgreSQL;Redis,South Korea,Seoul,E-commerce & Retail,Medium (201–1000),Contract,Remote,AWS Certified Solutions Architect,135700
Network Engineer,3,PhD / Doctorate,Git;Linux;GraphQL,United States,Chicago,Energy & Utilities,Small (51–200),Full-time,Hybrid,AWS Certified Solutions Architect,127600
Data Scientist,2,PhD / Doctorate,Deep Learning;Python;Machine Learning;PyTorch;CI/CD,United States,Seattle,Telecommunications,Small (51–200),Freelance,Hybrid,Salesforce Certified,183200
Engineering Manager,7,Bachelor's Degree,CI/CD;Python;AWS,United Kingdom,Edinburgh,Finance & Banking,Small (51–200),Full-time,Remote,None,177200
Data Analyst,11,Bootcamp Graduate,Apache Spark;C++;Docker;PostgreSQL;MongoDB,Netherlands,Amsterdam,Automotive,Large (1001–5000),Full-time,On-site,CFA (Finance),83600
Data Analyst,18,Bachelor's Degree,Git;Python;SQL;PostgreSQL,United States,Chicago,Energy & Utilities,Large (1001–5000),Full-time,On-site,Salesforce Certified,148800
Full Stack Developer,10,Master's Degree,Kafka;Redis;React;TypeScript;Docker;JavaScript;MongoDB;Node.js;Deep Learning;SQL,India,Hyderabad,E-commerce & Retail,Medium (201–1000),Contract,Hybrid,CISSP (Security),54400
Senior Software Engineer,3,Master's Degree,Go;CI/CD;Java;Git;C++;Kubernetes,United Kingdom,Bristol,Insurance,Medium (201–1000),Freelance,On-site,CompTIA Security+;AWS Certified Solutions Architect,156800
Data Scientist,8,Bootcamp Graduate,Apache Spark;Python;SQL;Scala;PyTorch;Git,Australia,Brisbane,Media & Entertainment,Startup (1–50),Freelance,Hybrid,AWS Certified Solutions Architect,126800
Mobile Developer,9,Bootcamp Graduate,GraphQL;TypeScript;Java;GCP;Deep Learning;Node.js,United States,Miami,Consulting,Large (1001–5000),Full-time,Remote,Salesforce Certified,195200
Site Reliability Engineer,4,PhD / Doctorate,Docker;Linux;JavaScript;CI/CD;AWS;Git;Kubernetes;PyTorch;Python,India,Bengaluru,Consulting,Small (51–200),Full-time,Remote,Data Science Professional (IBM),52500
